Scan Parameters
Scan Type,Standard Scan
ID,0
Stylus,Radius: 12.5 µm
Location,-3763.8 um, 1511.8 um
Length,1071.0 um
Duration,8 sec
Resolution,0.446 um/sample
Force,8.00 mg
Measurement Range,6.5 um
Profile,Hills&Valleys
Display Range,Auto
R. Cursor,Pos: 1045.1 um Width: 40.0 um
M. Cursor,Pos: 98.2 um Width: 40.0 um

Analytical Results
Function,R.Cur Pos,R.Cur Width,M.Cur Pos,M.Cur Width,Result
Ra,112.0 um,40.0 um,10.0 um,40.0 um,1.14 nm
Rq,112.0 um,40.0 um,10.0 um,40.0 um,1.38 nm
ASH,112.0 um,40.0 um,10.0 um,40.0 um,-5.65 nm

Scan Data
Lateral um,Raw Nanometer,
0.0,-5.22,,
0.4,-5.43,,
0.9,-5.58,,
1.3,-5.67,,
1.8,-5.78,,
2.2,-6.00,,
2.7,-6.17,,
3.1,-6.42,,
3.6,-6.44,,
4.0,-6.31,,
4.5,-6.17,,
4.9,-5.98,,
5.4,-5.91,,
5.8,-5.94,,
6.2,-6.09,,
6.7,-6.19,,
7.1,-6.02,,
7.6,-5.77,,
8.0,-5.55,,
8.5,-5.57,,
8.9,-5.82,,
9.4,-6.24,,
9.8,-6.69,,
10.3,-6.78,,
10.7,-6.78,,
11.2,-6.92,,
11.6,-6.91,,
12.0,-6.99,,
12.5,-7.44,,
12.9,-7.83,,
13.4,-8.12,,
13.8,-8.40,,
14.3,-8.43,,
14.7,-8.34,,
15.2,-8.53,,
15.6,-8.65,,
16.1,-8.98,,
16.5,-9.42,,
17.0,-9.62,,
17.4,-9.68,,
17.8,-10.00,,
18.3,-10.08,,
18.7,-9.89,,
19.2,-9.78,,
19.6,-9.54,,
20.1,-9.38,,
20.5,-9.41,,
21.0,-9.39,,
21.4,-9.14,,
21.9,-8.92,,
22.3,-8.65,,
22.8,-8.36,,
23.2,-8.36,,
23.7,-8.37,,
24.1,-8.24,,
24.5,-8.31,,
25.0,-8.47,,
25.4,-8.61,,
25.9,-9.02,,
26.3,-9.50,,
26.8,-10.07,,
27.2,-10.66,,
27.7,-11.01,,
28.1,-11.04,,
28.6,-11.12,,
29.0,-11.35,,
29.5,-11.64,,
29.9,-11.95,,
30.3,-12.02,,
30.8,-11.84,,
31.2,-11.59,,
31.7,-11.24,,
32.1,-11.10,,
32.6,-11.02,,
33.0,-10.92,,
33.5,-10.87,,
33.9,-10.77,,
34.4,-10.34,,
34.8,-9.86,,
35.3,-9.63,,
35.7,-9.52,,
36.1,-9.71,,
36.6,-9.97,,
37.0,-9.73,,
37.5,-9.20,,
37.9,-8.86,,
38.4,-8.92,,
38.8,-8.90,,
39.3,-8.96,,
39.7,-9.07,,
40.2,-9.07,,
40.6,-9.06,,
41.1,-8.83,,
41.5,-8.60,,
41.9,-8.57,,
42.4,-8.73,,
42.8,-9.01,,
43.3,-9.22,,
43.7,-9.01,,
44.2,-8.89,,
44.6,-8.81,,
45.1,-8.60,,
45.5,-8.40,,
46.0,-8.29,,
46.4,-8.16,,
46.9,-8.18,,
47.3,-8.37,,
47.7,-8.40,,
48.2,-8.47,,
48.6,-8.76,,
49.1,-8.91,,
49.5,-9.03,,
50.0,-9.00,,
50.4,-8.67,,
50.9,-8.24,,
51.3,-8.12,,
51.8,-7.99,,
52.2,-7.87,,
52.7,-7.77,,
53.1,-7.89,,
53.5,-8.11,,
54.0,-8.25,,
54.4,-8.19,,
54.9,-8.04,,
55.3,-8.15,,
55.8,-8.16,,
56.2,-7.88,,
56.7,-7.76,,
57.1,-7.71,,
57.6,-7.71,,
58.0,-7.72,,
58.5,-7.56,,
58.9,-7.57,,
59.4,-7.92,,
59.8,-8.16,,
60.2,-8.03,,
60.7,-7.99,,
61.1,-7.85,,
61.6,-7.53,,
62.0,-7.29,,
62.5,-7.18,,
62.9,-6.97,,
63.4,-6.79,,
63.8,-6.42,,
64.3,-6.02,,
64.7,-5.71,,
65.2,-5.49,,
65.6,-5.50,,
66.0,-5.57,,
66.5,-5.56,,
66.9,-5.47,,
67.4,-5.53,,
67.8,-5.35,,
68.3,-4.89,,
68.7,-4.57,,
69.2,-4.11,,
69.6,-3.72,,
70.1,-3.86,,
70.5,-4.07,,
71.0,-4.04,,
71.4,-4.03,,
71.8,-4.10,,
72.3,-4.01,,
72.7,-3.66,,
73.2,-3.31,,
73.6,-3.18,,
74.1,-3.47,,
74.5,-3.63,,
75.0,-3.31,,
75.4,-2.85,,
75.9,-2.57,,
76.3,-2.72,,
76.8,-3.25,,
77.2,-4.02,,
77.6,-4.67,,
78.1,-5.15,,
78.5,-5.23,,
79.0,-5.23,,
79.4,-5.39,,
79.9,-5.54,,
80.3,-5.51,,
80.8,-5.28,,
81.2,-4.93,,
81.7,-4.63,,
82.1,-4.78,,
82.6,-5.02,,
83.0,-5.21,,
83.4,-5.45,,
83.9,-5.32,,
84.3,-4.77,,
84.8,-4.44,,
85.2,-4.25,,
85.7,-4.05,,
86.1,-3.84,,
86.6,-3.74,,
87.0,-3.51,,
87.5,-3.20,,
87.9,-2.92,,
88.4,-2.65,,
