X,Y,psi,delta,Periode,n,d
-15.0000000,0.0000000,10.2845831,175.5559998,87.8836060,3.7207217,9.1901913
-13.4210529,0.0000000,10.2828054,176.1208801,281.4237061,1.4650000,1.0397222
-11.8421049,0.0000000,10.2911444,176.1025391,281.4237061,1.4650000,1.0467454
-10.2631578,0.0000000,13.2191591,167.7479858,75.7416382,4.2816515,59.7568855
-8.6842098,0.0000000,40.6287766,354.5926514,174.9154663,2.0381944,89.1244049
-7.1052628,0.0000000,41.7274704,352.8941956,177.2354279,2.0172102,90.8479233
-5.5263157,0.0000000,38.3976822,355.1467590,170.5329437,2.0795608,86.7752304
-3.9473681,0.0000000,36.7560577,2.4659016,167.2276459,2.1123438,82.5090485
-2.3684206,0.0000000,35.9371872,5.9421797,165.8599854,2.1263292,80.5563736
-0.7894732,0.0000000,35.5696754,7.7057447,165.3218079,2.1319022,79.6356430
0.7894742,0.0000000,35.7254066,7.9410648,165.6506805,2.1284921,79.7169266
2.3684216,0.0000000,36.2127228,5.3479986,166.3441772,2.1213491,81.0190125
3.9473691,0.0000000,37.4756241,4.8907475,168.7542877,2.0970263,82.4092560
5.5263166,0.0000000,38.8861618,359.6042175,171.2999573,2.0721521,85.5752869
7.1052637,0.0000000,41.0658112,351.3945007,176.1397095,2.0270448,90.8417130
8.6842117,0.0000000,43.5548782,339.2811584,184.2483215,1.9573327,99.0178223
10.2631588,0.0000000,34.7573318,359.8342590,163.3333282,2.1528435,81.5058975
11.8421059,0.0000000,10.2332697,176.4974670,281.4237061,1.4650000,0.9072116
13.4210539,0.0000000,10.2937021,176.0461578,87.3356094,3.7425842,9.5025768
15.0000010,0.0000000,10.1227322,174.0688324,88.4725647,3.6975362,11.4734612
