Lateral um,Raw Nanometer
0.0,15.03
3.1,13.32
6.3,10.87
9.4,8.41
12.5,6.42
15.6,4.77
18.8,3.81
21.9,2.79
25.0,1.67
28.1,0.34
31.3,-1.24
34.4,-1.20
37.5,-0.72
40.7,0.28
43.8,2.13
46.9,2.47
50.0,-3.13
53.2,-17.25
56.3,-33.48
59.4,-48.84
62.6,-53.46
65.7,-51.86
68.8,-46.83
71.9,-40.64
75.1,-34.87
78.2,-35.64
81.3,-54.93
84.5,-100.31
87.6,-146.19
90.7,-176.13
93.8,-166.67
97.0,-29.65
100.1,209.75
103.2,434.72
106.3,556.66
109.5,586.68
112.6,566.36
115.7,514.76
118.9,461.67
122.0,409.40
125.1,352.02
128.2,296.41
131.4,244.88
134.5,200.33
137.6,162.21
140.8,130.85
143.9,104.23
147.0,83.52
150.1,65.55
153.3,51.96
156.4,40.75
159.5,32.90
162.6,26.48
165.8,22.37
168.9,18.24
172.0,15.58
175.2,12.69
178.3,10.98
181.4,9.18
184.5,9.00
187.7,8.49
190.8,9.11
193.9,8.74
197.1,8.78
200.2,7.84
203.3,7.52
206.4,6.72
209.6,7.34
212.7,7.83
215.8,7.98
218.9,7.71
222.1,7.43
225.2,6.60
228.3,6.44
231.5,6.69
234.6,6.90
237.7,7.12
240.8,7.36
244.0,6.92
247.1,6.17
250.2,5.62
253.3,5.15
256.5,5.34
259.6,5.80
262.7,5.88
265.9,5.78
269.0,5.54
272.1,4.92
275.2,4.97
278.4,5.77
281.5,6.32
284.6,6.56
287.8,6.65
290.9,6.42
294.0,5.98
297.1,5.93
300.3,5.96
303.4,6.14
306.5,6.61
309.6,6.79
312.8,6.92
315.9,6.97
319.0,6.82
322.2,7.14
325.3,7.19
328.4,7.31
331.5,7.75
334.7,8.19
337.8,8.10
340.9,8.04
344.1,8.02
347.2,7.89
350.3,7.92
353.4,8.15
356.6,8.51
359.7,8.77
362.8,9.17
365.9,9.03
369.1,8.90
372.2,8.66
375.3,8.48
378.5,8.75
381.6,9.27
384.7,9.56
387.8,9.93
391.0,9.98
394.1,9.73
397.2,9.53
400.4,10.57
403.5,18.09
406.6,144.54
409.7,406.52
412.9,873.72
416.0,1507.55
419.1,2092.09
422.3,2388.07
425.4,2609.34
428.5,2489.46
431.6,2220.40
434.8,1903.63
437.9,1593.96
441.0,1326.49
444.1,1094.55
447.3,894.32
450.4,723.45
453.5,582.10
456.7,465.25
459.8,371.00
462.9,294.33
466.0,233.86
469.2,185.30
472.3,147.60
475.4,118.03
478.6,95.23
481.7,77.38
484.8,63.32
487.9,52.33
491.1,43.63
494.2,37.26
497.3,32.10
500.4,28.79
503.6,25.86
506.7,24.08
509.8,22.10
513.0,21.00
516.1,19.23
519.2,18.86
522.3,18.33
525.5,18.59
528.6,18.12
531.7,18.58
534.9,17.76
538.0,17.68
541.1,16.97
544.2,17.34
547.4,16.96
550.5,17.84
553.6,17.77
556.7,18.21
559.9,18.12
563.0,18.32
566.1,17.81
569.3,18.14
572.4,18.13
575.5,18.69
578.6,18.83
581.8,19.31
584.9,19.08
588.0,19.23
591.1,18.90
594.3,18.90
597.4,18.84
600.5,19.24
603.7,19.26
606.8,19.65
609.9,19.79
613.0,19.74
616.2,19.63
619.3,19.34
622.4,19.10
625.6,19.30
628.7,19.39
631.8,19.72
634.9,19.75
638.1,19.47
641.2,18.98
644.3,18.90
647.5,18.73
650.6,18.63
653.7,18.71
656.8,18.65
660.0,18.27
663.1,18.07
666.2,17.73
669.3,17.47
672.5,17.56
675.6,17.71
678.7,17.81
681.9,17.82
685.0,17.11
688.1,16.72
691.2,16.65
694.4,16.89
697.5,17.12
700.6,17.46
703.8,17.60
706.9,17.38
710.0,17.39
713.1,17.10
716.3,16.89
719.4,17.30
722.5,17.51
725.6,17.73
728.8,18.05
731.9,17.91
735.0,17.57
738.2,17.62
741.3,17.73
744.4,17.90
747.5,18.22
750.7,18.18
753.8,17.80
756.9,17.40
760.0,17.05
763.2,16.95
766.3,17.31
769.4,17.56
772.6,17.50
775.7,17.49
778.8,17.01
781.9,16.88
785.1,17.07
788.2,17.27
791.3,17.59
794.5,18.16
797.6,18.59
800.7,18.86
803.8,18.79
807.0,18.58
810.1,18.52
813.2,18.84
816.4,19.12
819.5,19.56
822.6,20.00
825.7,20.18
828.9,20.07
832.0,19.92
835.1,19.27
838.2,19.14
841.4,19.60
844.5,19.84
847.6,20.17
850.8,20.36
853.9,20.16
857.0,19.87
860.1,19.87
863.3,19.69
866.4,19.65
869.5,20.15
872.6,20.69
875.8,20.61
878.9,20.60
882.0,20.22
885.2,20.05
888.3,20.22
891.4,20.78
894.5,21.44
897.7,22.06
900.8,22.02
903.9,21.85
907.1,21.65
910.2,21.57
913.3,21.69
916.4,22.11
919.6,22.70
922.7,22.75
925.8,22.63
929.0,22.38
932.1,22.19
935.2,22.35
938.3,22.45
941.5,22.99
944.6,23.50
947.7,23.72
950.8,23.90
954.0,23.80
957.1,23.33
960.2,23.27
963.4,23.81
966.5,24.23
969.6,24.68
972.7,24.79
975.9,24.47
979.0,23.72
982.1,23.71
985.3,23.61
988.4,23.66
991.5,24.02
994.6,24.18
997.8,24.09
1000.9,24.08
1004.0,23.70
1007.1,23.37
1010.3,23.47
1013.4,24.01
1016.5,24.33
1019.7,24.91
1022.8,24.81
1025.9,24.40
1029.0,24.23
1032.2,24.33
1035.3,24.42
1038.4,25.16
1041.6,25.78
1044.7,25.88
1047.8,25.82
1050.9,25.54
1054.1,25.01
1057.2,24.77
1060.3,25.10
1063.4,25.66
1066.6,26.15
1069.7,26.51
1072.8,26.29
1076.0,25.71
1079.1,25.28
1082.2,25.17
1085.3,25.72
