x,y
220.0,0.070
221.0,0.090
222.0,0.107
223.0,0.095
224.0,0.100
225.0,0.098
226.0,0.124
227.0,0.130
228.0,0.123
229.0,0.128
230.0,0.153
231.0,0.163
232.0,0.186
233.0,0.205
234.0,0.218
235.0,0.241
236.0,0.282
237.0,0.341
238.0,0.456
239.0,0.609
240.0,0.761
241.0,0.862
242.0,0.907
243.0,0.889
244.0,0.880
245.0,0.831
246.0,0.770
247.0,0.718
248.0,0.668
249.0,0.611
250.0,0.544
251.0,0.465
252.0,0.384
253.0,0.324
254.0,0.251
255.0,0.172
256.0,0.123
257.0,0.083
258.0,0.051
259.0,0.029
260.0,0.016
261.0,0.007
262.0,0.001
263.0,-0.002
264.0,-0.005
265.0,-0.006
266.0,-0.007
267.0,-0.008
268.0,-0.008
269.0,-0.007
270.0,-0.008
271.0,-0.008
272.0,-0.008
273.0,-0.008
274.0,-0.008
275.0,-0.007
276.0,-0.008
277.0,-0.007
278.0,-0.007
279.0,-0.007
280.0,-0.006
281.0,-0.007
282.0,-0.006
283.0,-0.006
284.0,-0.007
285.0,-0.006
286.0,-0.006
287.0,-0.006
288.0,-0.006
289.0,-0.006
290.0,-0.006
291.0,-0.006
292.0,-0.005
293.0,-0.006
294.0,-0.005
295.0,-0.006
296.0,-0.005
297.0,-0.005
298.0,-0.005
299.0,-0.005
300.0,-0.005
301.0,-0.005
302.0,-0.005
303.0,-0.005
304.0,-0.005
305.0,-0.005
306.0,-0.005
307.0,-0.005
308.0,-0.006
309.0,-0.005
310.0,-0.005
311.0,-0.005
312.0,-0.005
313.0,-0.005
314.0,-0.005
315.0,-0.005
316.0,-0.005
317.0,-0.005
318.0,-0.005
319.0,-0.005
320.0,-0.006
321.0,-0.006
322.0,-0.006
323.0,-0.005
324.0,-0.005
325.0,-0.006
326.0,-0.006
327.0,-0.006
328.0,-0.006
329.0,-0.006
330.0,-0.006
331.0,-0.006
332.0,-0.006
333.0,-0.006
334.0,-0.007
335.0,-0.007
336.0,-0.007
337.0,-0.006
338.0,-0.006
339.0,-0.006
340.0,-0.007
341.0,-0.007
342.0,-0.006
343.0,-0.007
344.0,-0.007
345.0,-0.007
346.0,-0.007
347.0,-0.007
348.0,-0.007
349.0,-0.007
350.0,-0.007
351.0,-0.007
352.0,-0.007
353.0,-0.007
354.0,-0.007
355.0,-0.007
356.0,-0.007
357.0,-0.007
358.0,-0.007
359.0,-0.006
360.0,-0.007
361.0,-0.007
362.0,-0.006
363.0,-0.007
364.0,-0.007
365.0,-0.007
366.0,-0.007
367.0,-0.007
368.0,-0.008
369.0,-0.008
370.0,-0.007
371.0,-0.007
372.0,-0.007
373.0,-0.007
374.0,-0.007
375.0,-0.007
376.0,-0.007
377.0,-0.007
378.0,-0.008
379.0,-0.007
380.0,-0.007
381.0,-0.007
382.0,-0.007
383.0,-0.008
384.0,-0.008
385.0,-0.008
386.0,-0.007
387.0,-0.008
388.0,-0.008
389.0,-0.008
390.0,-0.008
391.0,-0.008
392.0,-0.007
393.0,-0.008
394.0,-0.007
395.0,-0.008
396.0,-0.007
397.0,-0.007
398.0,-0.008
399.0,-0.007
400.0,-0.007
401.0,-0.007
402.0,-0.007
403.0,-0.007
404.0,-0.008
405.0,-0.007
406.0,-0.007
407.0,-0.007
408.0,-0.007
409.0,-0.007
410.0,-0.007
411.0,-0.007
412.0,-0.007
413.0,-0.007
414.0,-0.007
415.0,-0.007
416.0,-0.007
417.0,-0.006
418.0,-0.006
419.0,-0.006
420.0,-0.006
421.0,-0.006
422.0,-0.006
423.0,-0.006
424.0,-0.006
425.0,-0.006
426.0,-0.006
427.0,-0.005
428.0,-0.006
429.0,-0.005
430.0,-0.006
431.0,-0.005
432.0,-0.006
433.0,-0.005
434.0,-0.005
435.0,-0.005
436.0,-0.006
437.0,-0.005
438.0,-0.005
439.0,-0.005
440.0,-0.006
441.0,-0.005
442.0,-0.005
443.0,-0.005
444.0,-0.006
445.0,-0.005
446.0,-0.005
447.0,-0.005
448.0,-0.005
449.0,-0.005
450.0,-0.005
451.0,-0.005
452.0,-0.005
453.0,-0.005
454.0,-0.005
455.0,-0.005
456.0,-0.005
457.0,-0.005
458.0,-0.005
459.0,-0.005
460.0,-0.005
461.0,-0.005
462.0,-0.005
463.0,-0.005
464.0,-0.005
465.0,-0.005
466.0,-0.005
467.0,-0.005
468.0,-0.005
469.0,-0.005
470.0,-0.005
471.0,-0.005
472.0,-0.005
473.0,-0.005
474.0,-0.005
475.0,-0.005
476.0,-0.004
477.0,-0.004
478.0,-0.004
479.0,-0.004
480.0,-0.004
481.0,-0.005
482.0,-0.004
483.0,-0.004
484.0,-0.004
485.0,-0.004
486.0,-0.004
487.0,-0.004
488.0,-0.004
489.0,-0.004
490.0,-0.004
491.0,-0.003
492.0,-0.003
493.0,-0.003
494.0,-0.003
495.0,-0.003
496.0,-0.003
497.0,-0.003
498.0,-0.003
499.0,-0.003
500.0,-0.003
501.0,-0.003
502.0,-0.003
503.0,-0.002
504.0,-0.003
505.0,-0.002
506.0,-0.002
507.0,-0.003
508.0,-0.003
509.0,-0.002
510.0,-0.002
511.0,-0.002
512.0,-0.002
513.0,-0.002
514.0,-0.002
515.0,-0.002
516.0,-0.002
517.0,-0.002
518.0,-0.002
519.0,-0.002
520.0,-0.002
521.0,-0.002
522.0,-0.002
523.0,-0.002
524.0,-0.002
525.0,-0.002
526.0,-0.001
527.0,-0.001
528.0,-0.002
529.0,-0.002
530.0,-0.001
531.0,-0.002
532.0,-0.001
533.0,-0.002
534.0,-0.001
535.0,-0.001
536.0,-0.001
537.0,-0.001
538.0,-0.001
539.0,-0.001
540.0,-0.001
541.0,-0.001
542.0,-0.001
543.0,-0.001
544.0,-0.001
545.0,-0.001
546.0,-0.002
547.0,-0.002
548.0,-0.001
549.0,-0.001
550.0,-0.002
551.0,-0.001
552.0,-0.002
553.0,-0.001
554.0,-0.001
555.0,-0.002
556.0,-0.002
557.0,-0.001
558.0,-0.001
559.0,-0.001
560.0,-0.002
561.0,-0.002
562.0,-0.001
563.0,-0.001
564.0,-0.001
