x,y
220,0.415
221,0.434
222,0.436
223,0.424
224,0.422
225,0.424
226,0.443
227,0.428
228,0.416
229,0.388
230,0.413
231,0.411
232,0.419
233,0.433
234,0.43
235,0.432
236,0.445
237,0.476
238,0.505
239,0.564
240,0.576
241,0.581
242,0.572
243,0.552
244,0.551
245,0.535
246,0.52
247,0.513
248,0.507
249,0.503
250,0.5
251,0.497
252,0.495
253,0.496
254,0.498
255,0.497
256,0.501
257,0.503
258,0.505
259,0.508
260,0.51
261,0.511
262,0.514
263,0.515
264,0.517
265,0.518
266,0.516
267,0.513
268,0.511
269,0.508
270,0.504
271,0.5
272,0.497
273,0.49
274,0.483
275,0.475
276,0.464
277,0.454
278,0.443
279,0.433
280,0.422
281,0.413
282,0.401
283,0.393
284,0.382
285,0.37
286,0.357
287,0.345
288,0.333
289,0.32
290,0.307
291,0.3
292,0.292
293,0.285
294,0.279
295,0.274
296,0.27
297,0.267
298,0.264
299,0.262
300,0.26
301,0.258
302,0.257
303,0.257
304,0.256
305,0.256
306,0.256
307,0.255
308,0.256
309,0.256
310,0.257
311,0.258
312,0.259
313,0.26
314,0.262
315,0.263
316,0.264
317,0.266
318,0.268
319,0.271
320,0.273
321,0.275
322,0.278
323,0.28
324,0.283
325,0.285
326,0.288
327,0.291
328,0.294
329,0.297
330,0.301
331,0.305
332,0.308
333,0.312
334,0.315
335,0.318
336,0.323
337,0.328
338,0.331
339,0.336
340,0.34
341,0.345
342,0.35
343,0.355
344,0.36
345,0.365
346,0.37
347,0.375
348,0.381
349,0.387
350,0.393
351,0.398
352,0.404
353,0.41
354,0.417
355,0.422
356,0.429
357,0.436
358,0.442
359,0.448
360,0.455
361,0.463
362,0.469
363,0.476
364,0.481
365,0.49
366,0.498
367,0.504
368,0.511
369,0.519
370,0.526
371,0.535
372,0.543
373,0.55
374,0.558
375,0.566
376,0.574
377,0.583
378,0.591
379,0.598
380,0.606
381,0.616
382,0.624
383,0.632
384,0.642
385,0.65
386,0.659
387,0.668
388,0.678
389,0.687
390,0.695
391,0.705
392,0.714
393,0.721
394,0.73
395,0.739
396,0.746
397,0.754
398,0.763
399,0.772
400,0.779
401,0.788
402,0.795
403,0.803
404,0.811
405,0.818
406,0.825
407,0.833
408,0.84
409,0.847
410,0.855
411,0.862
412,0.868
413,0.875
414,0.881
415,0.888
416,0.893
417,0.899
418,0.906
419,0.911
420,0.914
421,0.921
422,0.925
423,0.93
424,0.934
425,0.938
426,0.941
427,0.944
428,0.947
429,0.949
430,0.953
431,0.955
432,0.957
433,0.958
434,0.959
435,0.96
436,0.96
437,0.96
438,0.96
439,0.959
440,0.958
441,0.957
442,0.955
443,0.953
444,0.951
445,0.948
446,0.945
447,0.941
448,0.938
449,0.934
450,0.929
451,0.924
452,0.919
453,0.912
454,0.907
455,0.9
456,0.894
457,0.886
458,0.878
459,0.87
460,0.862
461,0.854
462,0.847
463,0.837
464,0.827
465,0.818
466,0.808
467,0.797
468,0.787
469,0.777
470,0.765
471,0.753
472,0.743
473,0.731
474,0.72
475,0.707
476,0.695
477,0.683
478,0.67
479,0.658
480,0.645
481,0.632
482,0.62
483,0.607
484,0.593
485,0.583
486,0.572
487,0.556
488,0.544
489,0.532
490,0.52
491,0.506
492,0.492
493,0.481
494,0.469
495,0.456
496,0.443
497,0.431
498,0.417
499,0.407
500,0.396
501,0.383
502,0.371
503,0.36
504,0.348
505,0.337
506,0.327
507,0.315
508,0.304
509,0.294
510,0.283
511,0.274
512,0.263
513,0.254
514,0.244
515,0.234
516,0.226
517,0.217
518,0.208
519,0.2
520,0.193
521,0.184
522,0.177
523,0.171
524,0.164
525,0.157
526,0.151
527,0.145
528,0.139
529,0.133
530,0.129
531,0.124
532,0.119
533,0.114
534,0.11
535,0.106
536,0.102
537,0.098
538,0.094
539,0.091
540,0.087
541,0.083
542,0.081
543,0.078
544,0.075
545,0.073
546,0.07
547,0.068
548,0.066
549,0.063
550,0.061
551,0.059
552,0.058
553,0.056
554,0.055
555,0.053
556,0.051
557,0.05
558,0.048
559,0.048
560,0.046
561,0.045
562,0.045
563,0.044
564,0.042
565,0.042
566,0.04
567,0.04
568,0.04
569,0.039
570,0.039
571,0.038
572,0.037
573,0.037
574,0.036
575,0.036
576,0.035
577,0.034
578,0.034
579,0.034
580,0.033
581,0.034
582,0.033
583,0.032
584,0.032
585,0.031
586,0.031
587,0.031
588,0.031
589,0.031
590,0.03
591,0.03
592,0.03
593,0.029
594,0.029
595,0.029
596,0.029
597,0.028
598,0.028
599,0.027
600,0.027
601,0.028
602,0.027
